id,edad,monto,fraude
1,50,743.61,1
2,35,422.11,1
3,55,411.44,1
4,40,575.65,0
5,50,886.77,0
7,30,416.71,0
8,50,671.5,1
9,55,643.63,0
10,40,309.71,0
11,35,392.77,0
12,55,719.31,0
13,55,585.6,0
14,30,6.06,0
15,45,596.4,0
16,40,685.29,0
17,25,332.48,0
18,55,635.44,0
19,45,874.46,0
20,25,579.27,0
21,40,374.88,0
22,20,395.51,0
24,45,575.55,1
25,60,512.56,0
26,20,600.32,0
28,30,536.12,0
29,50,692.96,0
30,35,287.03,0
31,60,521.74,0
32,30,521.15,0
33,40,684.13,0
34,30,454.66,0
35,50,630.61,0
36,40,720.54,0
37,60,130.04,0
38,50,733.73,0
39,25,302.92,0
40,35,281.21,0
41,60,-75.89,0
42,25,339.36,0
44,60,423.34,0
46,40,277.5,0
47,25,673.45,0
48,35,691.68,0
49,50,583.62,1
50,55,122.69,0
51,30,954.67,0
52,20,529.39,0
53,35,607.92,1
54,25,200.34,1
55,55,497.71,0
56,35,582.67,0
57,25,471.82,0
58,45,674.43,0
59,45,760.07,0
61,35,670.02,1
62,45,578.87,0
63,25,499.06,0
65,25,795.97,1
67,35,143.35,0
68,55,451.37,0
69,50,565.44,0
70,60,601.32,0
71,55,474.48,0
72,40,568.32,0
73,25,923.78,0
74,40,809.31,0
75,55,310.1,0
77,60,477.76,0
78,60,150.19,0
79,20,231.72,0
80,60,175.66,0
81,50,270.46,0
82,60,777.92,0
83,55,328.95,0
84,20,294.59,0
85,55,676.57,0
86,55,410.14,1
87,30,583.73,0
88,20,354.36,0
89,55,139.62,1
90,30,593.54,0
91,30,189.71,0
92,20,397.9,0
93,40,353.41,0
95,50,388.81,0
97,60,187.89,1
98,50,900.07,0
99,60,259.97,0
100,55,740.28,0
101,25,529.97,0
102,20,528.18,0
103,50,570.88,0
104,50,123.94,0
105,55,693.28,0
106,40,397.81,0
107,30,742.08,0
108,55,469.75,0
109,45,425.1,0
110,30,241.76,0
111,20,346.9,1
112,30,584.46,0
113,40,238.42,0
114,30,101.88,0
115,20,328.49,0
116,40,668.0,0
118,50,364.52,0
119,50,190.23,0
120,60,431.37,0
123,30,926.93,0
124,50,545.37,0
125,20,831.09,0
126,35,407.41,0
127,35,517.31,0
128,40,381.42,0
129,50,364.0,0
130,50,447.32,0
131,35,443.87,1
132,50,379.2,0
133,30,390.15,0
134,45,719.36,0
135,25,922.62,0
137,60,435.12,0
138,40,604.92,0
139,45,1137.41,0
140,35,516.83,1
142,50,808.89,1
143,60,568.81,0
144,50,685.25,0
145,20,621.57,0
146,20,706.5,0
147,60,293.12,0
148,60,540.86,0
149,35,596.24,0
150,60,593.41,1
151,30,727.4,0
152,50,589.38,0
153,45,271.01,0
154,55,618.26,0
155,60,323.38,0
156,40,360.12,0
157,20,416.3,0
158,30,477.72,0
160,55,723.38,0
161,45,268.9,0
162,55,814.02,0
163,60,275.01,0
164,35,756.38,0
165,20,494.32,0
166,20,156.72,0
168,35,765.29,0
169,50,589.73,0
170,25,484.25,0
171,30,56.65,0
172,20,777.91,0
173,40,874.08,0
174,20,837.6,0
175,55,376.95,1
176,20,576.56,0
177,20,598.43,0
178,25,194.51,0
179,25,536.1,0
180,45,714.21,0
181,50,652.9,0
182,40,277.77,0
183,20,327.48,0
184,20,658.12,0
185,30,626.57,0
186,25,49.17,0
187,40,8.68,0
189,45,382.07,0
190,50,440.34,0
191,35,417.74,0
192,50,696.8,0
193,55,520.71,0
194,20,553.53,0
195,45,231.54,0
196,55,-172.82,0
197,40,724.71,0
198,35,928.64,0
199,25,431.48,1
200,45,549.86,0
